Porosity,Mean,Variance,Skew,Kurtosis,P10,P20,P30,P40,P50,P60,P70,P80,P90,P100,,Input1,Input2,Input3,Input4,Input5,Input6,Input7,Input8,Input9,Input10,Input11,Input12,Input13,Input14,Input15
0.168963,0.022400233,9.663270595986432e-05,0.016467857,-0.651308077,0.0092,0.0131,0.0164,0.0194,0.0223,0.0254,0.0283,0.0316,0.0353,0.0483,,0.3863844444975257,0.4406431533396244,0.5135838036060333,0.043859807,0.1380098813772201,0.058859807,0.092392068,0.1075251941770315,0.1229192275553941,0.8284682710319757,0.9053833755873144,0.8217200835168362,0.081227461,0.087922219,0.07664006
0.159887,0.021900896,7.235145120106887e-05,-0.057779967,-0.816059933,0.0109,0.0138,0.0165,0.0198,0.0221,0.0244,0.0274,0.0302,0.0331,0.0415,,0.4161002695560455,0.418843675,0.6936831049203872,0.03929519,0.1425359714031219,0.060746028,0.097535971,0.1125359714031219,0.1275359714031219,0.8454421504616738,0.8396499288499355,0.960251351,0.079533425,0.082284712,0.090536476
0.156643,0.019351934,7.010060873801408e-05,-0.034054654,-0.760573297,0.0074,0.0117,0.0141,0.0172,0.0197,0.0219,0.0246,0.027,0.0303,0.0402,,0.3731270104646683,0.4622213579714298,0.6290480591252446,0.037710907,0.115788437,0.055788437,0.070788437,0.085788437,0.100788437,0.9296609128832816,0.8372762789607048,0.8266780476927758,0.07874968,0.083329001,0.08388825
0.170658,0.022313049,7.657815380086101e-05,0.086274599,-0.497607705,0.0105,0.0138,0.0168,0.0196,0.0223,0.0251,0.0276,0.0301,0.0334,0.0476,,0.3652897796034813,0.4563637517392635,0.7354619053881615,0.037471712,0.1288730847090482,0.052471712,0.068586436,0.098873085,0.1138730847090482,0.8981119663320482,0.8064914455771446,0.9433957821011544,0.075311734,0.080429348,0.084952334
0.159706,0.021239714,7.869483642147283e-05,0.077556192,-0.751754988,0.0098,0.0131,0.0156,0.0185,0.0214,0.0235,0.0262,0.0297,0.0334,0.0415,,0.412176023,0.4167312324047089,0.6539325571507215,0.036905969,0.1419524991512298,0.061110033,0.078204693,0.09398354,0.1234889820843934,0.9287367789909244,0.978991611,0.9525921562790872,0.059573217,0.083687387,0.082804479
0.155854,0.023297331,0.000104679,-0.018935041,-0.736927542,0.0095,0.0135,0.017,0.0202,0.0233,0.0264,0.03,0.033,0.0367,0.0482,,0.4102952280640602,0.4268393740057945,0.5217825141549111,0.044681655,0.1343172344565391,0.074180672,0.089195798,0.1042105152025818,0.1192115377753973,0.8572287738904357,0.9098961118221284,0.952626323,0.063101217,0.092667479,0.088517333
0.168915,0.02416885,9.574447535839792e-05,0.021073923,-0.803865995,0.0108,0.0147,0.0179,0.0216,0.0242,0.0271,0.0302,0.0334,0.0372,0.0465,,0.3827055048942566,0.4413555555045604,0.6892334655448794,0.045999715,0.1454661679267883,0.060999715,0.075999715,0.1081657146215439,0.1304661679267883,0.8598498495101929,0.931822537,0.988503175,0.052090294,0.085342301,0.097097913
0.169237,0.022688874,0.000104464,0.015589956,-0.799736651,0.0091,0.013,0.0165,0.0195,0.0225,0.0256,0.0288,0.0323,0.037,0.0491,,0.3512777850031853,0.4725492164492607,0.5640969246983528,0.040666906,0.1350098139047622,0.055666906,0.077155826,0.0995465,0.1199988675996661,0.8462503963917494,0.8189201567590236,0.8958975409410894,0.0685066,0.067456454,0.067971392
0.157203,0.020896848,8.698690965096188e-05,0.044186583,-0.696123766,0.008,0.0117,0.0157,0.0183,0.0209,0.0234,0.0262,0.0292,0.0337,0.0437,,0.3999891646206379,0.4310693114995956,0.5383939400553703,0.04057912,0.1404608905315399,0.05557912,0.07057912,0.08557912,0.1242533008188009,0.8551763997167349,0.8570307330667972,0.8509873400986195,0.057967718,0.084274574,0.092350009
0.167221,0.022284587,8.643333355395567e-05,0.025984553,-0.76926102,0.0095,0.0134,0.0165,0.02,0.0225,0.025,0.0277,0.0311,0.0346,0.0461,,0.4076542088389396,0.4197998464107513,0.6308372199565172,0.047526841,0.1225268410146236,0.062526841,0.077526841,0.092526841,0.1075268410146236,0.981779058,0.9707029411256314,0.9110387482732536,0.053410989,0.071801953,0.062189958
0.187305,0.022294724,8.674318824545382e-05,-0.099729555,-0.812041369,0.0089,0.0138,0.0166,0.0197,0.0227,0.0251,0.028,0.0314,0.0345,0.0419,,0.3898046686500311,0.4152458131313324,0.5336512837707996,0.042921851,0.1234077227115631,0.062276103,0.078329594,0.093353759,0.1084062889128923,0.9429173906549811,0.9664977096199988,0.8349489669024944,0.056310523,0.068464563,0.086652719
0.184276,0.024911922,7.285041145816044e-05,-0.120036827,-0.512808758,0.0132,0.0169,0.0205,0.0228,0.0251,0.0275,0.0298,0.0324,0.0361,0.046,,0.3917429885268211,0.4157314628362656,0.7674376796498894,0.04502115,0.1381858623027801,0.060024431,0.075054589,0.1081030162632465,0.1231048759371042,0.8791528505973518,0.8581107431411743,0.9934716662704944,0.072543481,0.076318349,0.090253279
0.180138,0.02436327,8.076634793799415e-05,0.01608279,-0.609851204,0.012,0.0164,0.0193,0.0218,0.0242,0.0268,0.0295,0.0326,0.0363,0.0455,,0.3889540783688426,0.4195454508066177,0.7212250044506975,0.043729278,0.1257201740145683,0.058729278,0.073729278,0.095720174,0.1107201740145683,0.9513579453974962,0.9932993013620376,0.9373405249029398,0.080652023,0.089667682,0.093712914
0.177928,0.028752906,0.000133829,0.3515262400349626,-0.171767122,0.014,0.0189,0.022,0.0249,0.0279,0.0312,0.0347,0.0385,0.0437,0.0609,,0.3600935742259025,0.4511989307589829,0.7467983936760575,0.048781016,0.1446106481552124,0.063781016,0.07969629,0.09469629,0.1096962898850441,0.8153719870328904,0.8140764892876149,0.8222450504541398,0.059726262,0.098369248,0.094612043
0.182049,0.023898969,0.000117338,0.1140834289716865,-0.560536818,0.0098,0.0139,0.0173,0.0206,0.0239,0.0268,0.0299,0.0336,0.0383,0.0534,,0.3556447470188141,0.4542820937931537,0.5273251554518938,0.042277107,0.1268352830410003,0.057277107,0.072277107,0.096835283,0.1118352830410003,0.9628561461627484,0.9889060206651688,0.8355355629563332,0.054101454,0.091839603,0.094304427
0.181412,0.023522787,8.192777196055779e-05,-0.05501298,-0.800455499,0.0106,0.0152,0.018,0.0207,0.0237,0.0263,0.029,0.032,0.0359,0.0432,,0.3631006523966789,0.4497452525887638,0.6944107922807335,0.046436813,0.1214368131756782,0.061436813,0.076436813,0.091436813,0.1064368131756782,0.864646944,0.9733111627459526,0.8109332494080067,0.067544389,0.093974027,0.089182275
0.177363,0.021641566,7.130861664061964e-05,0.1055340372783913,-0.595986413,0.0101,0.0139,0.0169,0.0191,0.0213,0.0237,0.0269,0.0294,0.0329,0.0442,,0.3741074432432651,0.4421219579875469,0.7283684561263304,0.036020476,0.114772595,0.054772595,0.069772595,0.084772595,0.099772595,0.8257225797355175,0.9753611853420734,0.9918520352244378,0.067152328,0.063808625,0.096306322
0.171039,0.023691073,7.534239008510929e-05,-0.01761116,-0.69926,0.0127,0.0156,0.0181,0.0213,0.0239,0.0261,0.0286,0.0321,0.0354,0.0424,,0.4137344568967819,0.4073531836271286,0.7184292006704025,0.037641496,0.1354757785797119,0.073653325,0.090315299,0.1054013461999595,0.1204581108763813,0.8421389339596034,0.8478629524171353,0.9816181363582612,0.072500748,0.076212801,0.078783993
0.184365,0.024205823,7.946384845599801e-05,-0.003395248,-0.615314861,0.0124,0.016,0.0188,0.0215,0.0239,0.0266,0.0294,0.0324,0.0363,0.0495,,0.3684615248441696,0.4410579279065132,0.7386091324483975,0.035760322,0.1233520078659057,0.063352008,0.078352008,0.093352008,0.1083520078659057,0.8103133858829737,0.9430213719397784,0.9919632891774176,0.081399037,0.085676409,0.07841869
0.185842,0.024592569,7.673896130875888e-05,0.000895107,-0.506040016,0.0127,0.0164,0.0192,0.022,0.0245,0.0271,0.0299,0.0326,0.0361,0.048,,0.3585770320892334,0.4500931097834836,0.7761795406334102,0.038944309,0.1382542610168457,0.055189905,0.070228259,0.1048495832622051,0.1198495832622051,0.8490812975853682,0.8416576268315316,0.9816611100137234,0.076839295,0.079684115,0.076568413
0.138624,0.018200124,6.508955715199331e-05,0.04598381,-0.61538881,0.0069,0.0103,0.0137,0.0158,0.018,0.0207,0.023,0.0254,0.0288,0.0419,,0.3907220263034105,0.4623173348605633,0.5170666486769915,0.038726216,0.1396364212036132,0.053863478,0.081799603,0.096990004,0.1133787623381242,0.8624706600219012,0.955751307,0.8142248158633709,0.07425474,0.077539665,0.063047229
0.139932,0.017348346,5.4391505725846015e-05,0.03131273,-0.716767014,0.0068,0.0104,0.0126,0.0152,0.0171,0.0197,0.0217,0.0243,0.0271,0.0369,,0.4156367096304894,0.439666074,0.6701275897197425,0.037378606,0.1399232387542724,0.052378606,0.067378606,0.082378606,0.097387856,0.8604475966706873,0.8127485336661339,0.815952176,0.059974858,0.060767106,0.066094003
0.139376,0.01945073,6.614957369751332e-05,-0.080636239,-0.854266134,0.0084,0.0124,0.0146,0.0177,0.0195,0.0225,0.0243,0.0274,0.0303,0.0356,,0.3922372593730688,0.4601191945374012,0.6694656396813691,0.048397794,0.1301407639309764,0.06363097,0.07863097,0.100054866,0.115098126,0.8076584866464138,0.9908218704223632,0.8547743421286345,0.053098274,0.069101062,0.082502556
0.136957,0.017450898,6.041241981427451e-05,0.003606427,-0.82881583,0.0074,0.0098,0.0129,0.015,0.0177,0.0196,0.0222,0.0246,0.0279,0.035,,0.4124075844883919,0.4446138374507427,0.6323902960181236,0.035773855,0.1283460237085819,0.058760952,0.073803546,0.088803546,0.1039726273953914,0.885241334,0.9831121453523636,0.837308874,0.055883405,0.076620709,0.07369115
0.142021,0.017725017,5.268580340244238e-05,0.003794307,-0.728841767,0.0073,0.0105,0.0134,0.0155,0.0177,0.0201,0.022,0.0244,0.0275,0.0363,,0.3932576901465654,0.4595753692090511,0.7100081680566073,0.038235859,0.130002822,0.054489525,0.076628408,0.091653797,0.1096917416468262,0.828935451,0.8164386767566204,0.9907073294639588,0.069717051,0.081137532,0.080510318
0.117598,0.01633797,5.227938132722721e-05,0.061151276,-0.642708708,0.0056,0.0093,0.0122,0.0141,0.0165,0.0181,0.0207,0.0228,0.0257,0.0339,,0.3783854763209819,0.4809997171163559,0.683125121,0.038021279,0.1213306599855423,0.060825357,0.075934699,0.091107818,0.1063181177437305,0.8281971042215824,0.9636263703763484,0.8152397789359094,0.068547827,0.076418871,0.084790107
0.141594,0.017847388,5.8647107248233355e-05,-0.062343505,-0.790192748,0.0077,0.0102,0.0133,0.0159,0.0181,0.0201,0.0226,0.0249,0.028,0.0351,,0.4164523282647133,0.4379698790609836,0.6190876888632775,0.041112084,0.119476169,0.05745687,0.074358038,0.089358038,0.1043728665381669,0.8198886179685593,0.9754429168641569,0.949529014,0.059384364,0.063269623,0.072428386
0.1323,0.018708469,6.297245803802693e-05,0.091023363,-0.743915266,0.0075,0.0113,0.0133,0.0167,0.0186,0.0206,0.0233,0.0261,0.03,0.0391,,0.4157476976513862,0.4422318160533905,0.7144570275971666,0.040392151,0.1403963732719421,0.055392151,0.070392151,0.085392151,0.1003921511769294,0.8257657536238432,0.8205414610207081,0.8472109102904797,0.06213158,0.07063816,0.064376925
0.133917,0.018258089,6.037059177597499e-05,-0.012243071,-0.747771432,0.0071,0.0107,0.0134,0.0159,0.0183,0.0207,0.0229,0.0256,0.0282,0.0368,,0.4068586069345474,0.4498312667710706,0.6870151559293269,0.038273221,0.1440238010883331,0.056732589,0.072738161,0.1084565464958548,0.1244428921997547,0.8639277355611324,0.8573031665116548,0.9836087865948676,0.082875043,0.085915361,0.089807712
0.139003,0.018336359,5.808201336709361e-05,0.00655822,-0.827271887,0.0076,0.0109,0.0135,0.016,0.0182,0.0207,0.0228,0.0257,0.0286,0.0372,,0.3802558550983667,0.4747573748230934,0.7310288343641906,0.03824063,0.1389587730169296,0.05333365,0.06833365,0.08333365,0.09833365,0.9502000189721584,0.8437599359273911,0.8137244767546654,0.084380318,0.078546771,0.084387661
0.130921,0.01816942,6.192274688455402e-05,-0.082504651,-0.895177762,0.0077,0.0104,0.0133,0.0159,0.0183,0.0209,0.0232,0.0258,0.0288,0.0348,,0.4081027546525002,0.4555044051259756,0.6579619735434651,0.044242881,0.1479891896247863,0.059242881,0.074242881,0.089242881,0.104242881,0.956775163,0.804791667,0.980699005,0.052652616,0.056790436,0.063315127
0.139931,0.018665939,6.670447950363555e-05,-0.055248243,-0.803686713,0.0068,0.011,0.0137,0.0167,0.0188,0.0215,0.0238,0.0262,0.0296,0.0388,,0.3920720645040274,0.4606163710355759,0.5173895321756601,0.042443725,0.1420211851596832,0.058009372,0.086796385,0.1034444467492401,0.121896216,0.8475381066113711,0.8185416289389134,0.9878443265259266,0.054258384,0.058965836,0.063760378
0.127881,0.0178459,5.715763871712479e-05,-0.090465336,-0.867463825,0.0076,0.011,0.0132,0.0159,0.0179,0.0205,0.0227,0.025,0.028,0.0336,,0.4164621832966804,0.4487078719772399,0.693656666,0.046362007,0.1213940691947937,0.061365461,0.076387864,0.091394069,0.1063940691947937,0.8601093813538552,0.9937721663892268,0.8203961174130441,0.081615944,0.077437291,0.098151762
0.127885,0.01755685,5.3337911940268046e-05,0.022089601,-0.715261194,0.008,0.0103,0.0134,0.0155,0.018,0.0197,0.0222,0.0241,0.0272,0.0355,,0.3759308348596096,0.4878263413906097,0.7496542129173874,0.036454806,0.1366719424724579,0.051454806,0.066454806,0.10318797,0.1182323288470506,0.9869935429483652,0.8609819394767284,0.8126228280127049,0.061524427,0.072400332,0.079503089
0.129017,0.018781449,6.825599397859426e-05,0.061764908,-0.787343027,0.007,0.011,0.0136,0.0165,0.0186,0.0211,0.0238,0.0264,0.0302,0.039,,0.3675691938400268,0.4985054939985275,0.7341527241725474,0.037655443,0.1355519527196884,0.057554943,0.072554943,0.088199916,0.1205519527196884,0.995485722,0.834877954,0.8604062936365605,0.063219471,0.083723256,0.083362421
0.140827,0.019084762,7.672575776438358e-05,0.1653992712467727,-0.441007712,0.0072,0.0105,0.0139,0.0169,0.019,0.0214,0.0238,0.0269,0.0303,0.0437,,0.3639540785551071,0.4896144300699234,0.5124256205499172,0.038659415,0.1174864113330841,0.053662544,0.0688149,0.084995403,0.1023280916810035,0.8433907682090998,0.8269153050243855,0.9023869309786708,0.074480058,0.060860995,0.096640022
0.127094,0.016738012,5.708420177123501e-05,0.033766094,-0.789910485,0.0056,0.0094,0.0122,0.0144,0.0167,0.0188,0.0212,0.0238,0.027,0.0339,,0.3864131435751915,0.4768561869859695,0.5900705648392439,0.037463244,0.136515548,0.060172178,0.075172178,0.090172178,0.1051721778705716,0.8093692259073257,0.9757119889914988,0.8140399999678135,0.052241331,0.064948369,0.061478902
0.128723,0.016907386,5.225328941878986e-05,0.026964042,-0.854941315,0.0074,0.0104,0.0122,0.0148,0.0167,0.0189,0.0213,0.0235,0.0269,0.0329,,0.4154651290178299,0.4505394265986979,0.712196069,0.039593518,0.1299228256801143,0.056716924,0.071734751,0.086926166,0.1089660408914089,0.8335235657781362,0.8480930999517441,0.9779458091437816,0.063600401,0.066285988,0.095307889
0.132728,0.017599931,5.534135103964096e-05,-0.021859309,-0.805519281,0.0069,0.0104,0.0127,0.0155,0.0176,0.0202,0.0221,0.0248,0.0274,0.0372,,0.3918071411550045,0.4719930276274681,0.7132839598288759,0.041778184,0.1224312430620193,0.056780501,0.071785847,0.087775395,0.1028679906070232,0.8471044613331556,0.9915997489631176,0.8197762118637563,0.066482723,0.066289525,0.097868136
0.132362,0.017601192,5.2073345348224174e-05,0.068666063,-0.7413354,0.0075,0.0107,0.0128,0.0154,0.0174,0.0199,0.0217,0.0244,0.0275,0.037,,0.3767731433361769,0.4861664056777954,0.7548248251989483,0.037628194,0.1321884977817535,0.052629338,0.067632114,0.084045648,0.099075042,0.8629553371101618,0.9877520080149174,0.8394240029394627,0.059237971,0.064696682,0.097797389
0.170061,0.023301847,7.942015236210256e-05,-0.055741661,-0.817664502,0.0106,0.0151,0.0179,0.0204,0.0235,0.0262,0.0288,0.0317,0.0355,0.0432,,0.4060282891988754,0.4161151468753815,0.6896666718162596,0.038799044,0.1295047894492745,0.068044466,0.08308314,0.098109517,0.1131095165417529,0.8455119006872177,0.8122482064664364,0.9075052041724324,0.05406126,0.093104889,0.088793938
0.174763,0.022749172,9.168074793697264e-05,0.034608355,-0.730714715,0.0096,0.0134,0.0176,0.0201,0.0226,0.0254,0.0282,0.0317,0.0355,0.0449,,0.3651822337508201,0.454768681,0.644698467,0.03704778,0.1307609297335148,0.063249137,0.08143222,0.1007178855430334,0.1157269763246178,0.8624182430967688,0.985251331,0.8408984989047051,0.06439046,0.094857357,0.091935266
0.17024,0.020441971,6.049271563580642e-05,-0.028643739,-0.689553264,0.0103,0.013,0.0159,0.0184,0.0206,0.0228,0.0253,0.0277,0.0305,0.0401,,0.3746334326267242,0.4469849776476621,0.7164980550136417,0.036084034,0.1166531908512115,0.056653191,0.071653191,0.086653191,0.1016531908512115,0.8454509317934513,0.8519581744611263,0.9856880577147008,0.059634381,0.084030723,0.076294693
0.172509,0.024497277,9.304841647645422e-05,0.1527414694393844,-0.511975802,0.0121,0.0157,0.0187,0.0214,0.0239,0.0268,0.0298,0.033,0.0375,0.0501,,0.3743730221688747,0.4437325775623321,0.716199223,0.046816733,0.1381430691480636,0.061816733,0.090308317,0.1080397082731127,0.1230540479063987,0.8374964809566736,0.9739580005168916,0.8289716273665428,0.052586215,0.078190142,0.079008333
0.172962,0.021962854,8.992248645464391e-05,-0.040962768,-0.778248862,0.0087,0.0131,0.0165,0.0191,0.022,0.0249,0.0275,0.0307,0.0352,0.0429,,0.3568604019284248,0.4609873004257679,0.5568019180476665,0.040071554,0.1345618435740471,0.056211542,0.076125058,0.1032220154777169,0.1195392204150557,0.9528946367561816,0.8378096715211869,0.8483539249718189,0.062253387,0.090295673,0.084445122
0.166358,0.021529819,9.068000009924392e-05,0.0600218,-0.577692762,0.009,0.0128,0.0161,0.0189,0.0216,0.0239,0.027,0.0299,0.0342,0.0499,,0.3953312069177627,0.4225925922393799,0.561079186,0.041103153,0.1366249084472656,0.056113659,0.072493588,0.1057687444411218,0.1214179993882775,0.8450887465387583,0.9028539000496268,0.9171736618489028,0.081354674,0.07817544,0.091592163
0.172712,0.023020929,7.710019444576373e-05,-0.045203091,-0.799770978,0.0112,0.0148,0.0175,0.0202,0.0234,0.0258,0.0283,0.0314,0.0348,0.0424,,0.3845929274242371,0.4354380622506141,0.7094265117008239,0.042054285,0.1329636737704277,0.064527304,0.079619552,0.094631476,0.1096639918684959,0.8660075022473932,0.8249179797887802,0.9639977228999138,0.053849029,0.085699903,0.080751268
0.16756,0.024572147,7.197659670288806e-05,-0.10960023,-0.609342229,0.0133,0.017,0.0195,0.0222,0.0249,0.0271,0.0295,0.0323,0.0363,0.0433,,0.360134774,0.4644847363233566,0.8101810178428888,0.040049817,0.1374977469444274,0.064001184,0.079001184,0.094001184,0.1090011835776269,0.8382259987324476,0.8115640101373196,0.9887231696367264,0.052797737,0.09429811,0.090695886
0.170997,0.022844843,0.000102188,0.1184320165107776,-0.526415192,0.0096,0.0135,0.017,0.02,0.0227,0.0253,0.0284,0.0315,0.0366,0.0492,,0.3872340162098407,0.4309075877070427,0.5584206912249327,0.041374138,0.1340844115614891,0.058612373,0.082682876,0.1013101933028549,0.1166275582380592,0.87016112,0.935927664,0.9327377677321436,0.074399118,0.08608322,0.082200292
0.172346,0.022827215,9.586513307901607e-05,0.016295458,-0.659356166,0.0098,0.0136,0.017,0.0199,0.0228,0.0256,0.0287,0.0318,0.0356,0.0491,,0.3957522591948509,0.422765452,0.5792856636106968,0.044881736,0.1368484878540039,0.062965369,0.079032595,0.094150695,0.1091970407605171,0.9086794524189084,0.8917689157374203,0.9556876051902772,0.07915668,0.088981862,0.089358537
0.121904,0.019552426,7.464774875584403e-05,-0.069182693,-0.847993575,0.0071,0.0111,0.0147,0.017,0.0203,0.0223,0.0248,0.0277,0.0311,0.0375,,0.4047713866829872,0.4691350251436234,0.5381206175386906,0.046251455,0.1333090752363205,0.069427109,0.084428491,0.099428491,0.1144284906297922,0.8896267863091082,0.8111173866093159,0.9912472838878632,0.082929185,0.095111557,0.094738992
0.119386,0.020320962,5.3374462127099765e-05,-0.101832959,-0.661954263,0.0106,0.0134,0.0163,0.0182,0.0204,0.0229,0.0247,0.0271,0.03,0.0386,,0.3826028550043702,0.48986226,0.8356478306025267,0.046023667,0.1324362087249755,0.061023667,0.076023667,0.1016471233408898,0.1174099054433405,0.8259439419776201,0.9879745218753816,0.8245506463170051,0.055517442,0.057877155,0.071113006
0.131048,0.020739895,5.841310092876621e-05,-0.031530319,-0.682793083,0.0106,0.0134,0.0164,0.0183,0.0209,0.0229,0.0252,0.0281,0.0307,0.0381,,0.4030681622028351,0.4586625687777996,0.7950709492832422,0.04479524,0.1448407709598541,0.06021416,0.093672954,0.1087369253709912,0.1239245365828275,0.8266545030385256,0.8115698217332363,0.9825706664562226,0.081623177,0.07585835,0.08828027
0.122824,0.022006192,5.6665714790142915e-05,-0.180445875,-0.602002119,0.0116,0.0152,0.0176,0.0203,0.022,0.0243,0.0266,0.029,0.032,0.0372,,0.4174570846557617,0.4501347468583844,0.8489532924056054,0.048559712,0.1352899664640426,0.063559712,0.078559712,0.099164303,0.1202899664640426,0.9665130644619464,0.8752351315289736,0.8555704444289208,0.080769805,0.085148481,0.06518585
0.118334,0.021230113,5.2734489849121735e-05,-0.202039975,-0.606521756,0.0111,0.0145,0.0172,0.0194,0.0214,0.0235,0.0255,0.0282,0.0308,0.0359,,0.3806876339018345,0.4960784256458282,0.8588759022384882,0.04689356,0.1294636157527566,0.06189356,0.076897047,0.099081539,0.1140887095196172,0.809723911,0.9551388501286506,0.8368053192555904,0.060894467,0.057257906,0.068228537
0.12226,0.016588566,5.5439987836760656e-05,0.037853267,-0.773125589,0.006,0.0095,0.0125,0.0141,0.0167,0.0185,0.0211,0.0236,0.0267,0.0348,,0.4184269958734512,0.4545283067971468,0.5297172836601733,0.036396626,0.1283632215857506,0.053028375,0.08232617,0.098363222,0.1133632215857505,0.807831992,0.976615031,0.95387041,0.083491006,0.091952964,0.076989482
0.118651,0.022067403,6.385766261556736e-05,-0.078947451,-0.654879239,0.0113,0.0148,0.0177,0.0197,0.0226,0.0243,0.0267,0.0297,0.0327,0.0388,,0.4099781376123428,0.4634939834475517,0.836451548,0.046253211,0.1469225585460662,0.064421349,0.087882234,0.1041857760213315,0.123338769,0.8271416584402324,0.9864611191809176,0.8924283590741456,0.055807533,0.056041707,0.097766741
0.119643,0.018804923,6.964042318894458e-05,-0.03569231,-0.789167861,0.007,0.0109,0.0137,0.0168,0.0189,0.0216,0.0238,0.0266,0.0298,0.0385,,0.3948668959736824,0.4775429964065552,0.5606191456228494,0.047271361,0.1459588074684143,0.062271361,0.077271361,0.098705596,0.1137263853794429,0.8111737121403217,0.9871773150146008,0.9379045980453492,0.089282507,0.081416316,0.081194543
0.122063,0.019078873,4.685851249602531e-05,-0.045088096,-0.593700087,0.0098,0.0127,0.015,0.0173,0.0192,0.0209,0.0231,0.0252,0.0282,0.0359,,0.4118723982572556,0.4603688970208168,0.818747589,0.041596819,0.1400997006893158,0.058207076,0.089724842,0.1057827909655869,0.1231613549470901,0.8267682909876108,0.8291916999995709,0.9793485056996346,0.060681527,0.070457444,0.079522367
